"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "TypeScript JSX", "XML", "JavaScript", "YAML", "CSS", "comment", "blank", "total"
"c:\Users\Maheer\Documents\freelancer2\buildforce\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 4707, 0, 0, 1046, 5753
"c:\Users\Maheer\Documents\freelancer2\buildforce\pnpm-workspace.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Maheer\Documents\freelancer2\buildforce\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Maheer\Documents\freelancer2\buildforce\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Maheer\Documents\freelancer2\buildforce\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Maheer\Documents\freelancer2\buildforce\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Maheer\Documents\freelancer2\buildforce\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Maheer\Documents\freelancer2\buildforce\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Maheer\Documents\freelancer2\buildforce\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Maheer\Documents\freelancer2\buildforce\types\application.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Maheer\Documents\freelancer2\buildforce\types\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Maheer\Documents\freelancer2\buildforce\types\notification.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Maheer\Documents\freelancer2\buildforce\types\project.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\Maheer\Documents\freelancer2\buildforce\types\user.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Maheer\Documents\freelancer2\buildforce\vercel.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 99, 138, 40, 23, 9825, 5, 36, 4711, 117, 255, 2031, 17280
